PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
1_01,Europa,False,A812,PSO J318.5-22,45.0,False,1480.7,1480.7,1480.7,1480.7,1480.7,Guest 1,0
2_01,Mars,True,A125,55 Cancri e,23.0,True,1961.7,1961.7,1961.7,1961.7,1961.7,Guest 2,0
3_01,Europa,False,A248,PSO J318.5-22,31.0,False,183.8,183.8,183.8,183.8,183.8,Guest 3,0
4_01,Europa,True,D984,TRAPPIST-1e,15.0,True,2280.3,2280.3,2280.3,2280.3,2280.3,Guest 4,0
5_01,Mars,True,G333,55 Cancri e,20.0,True,1561.1,1561.1,1561.1,1561.1,1561.1,Guest 5,0
6_01,Europa,False,G636,PSO J318.5-22,32.0,False,893.9,893.9,893.9,893.9,893.9,Guest 6,0
7_01,Europa,True,D575,TRAPPIST-1e,22.0,True,1458.2,1458.2,1458.2,1458.2,1458.2,Guest 7,0
8_01,Earth,False,E988,PSO J318.5-22,24.0,True,447.6,447.6,447.6,447.6,447.6,Guest 8,0
9_01,Earth,True,C335,TRAPPIST-1e,27.0,False,140.6,140.6,140.6,140.6,140.6,Guest 9,0
10_01,Earth,False,A250,TRAPPIST-1e,33.0,True,131.3,131.3,131.3,131.3,131.3,Guest 10,0
11_01,Earth,True,D496,TRAPPIST-1e,39.0,True,472.8,472.8,472.8,472.8,472.8,Guest 11,1
12_01,Europa,False,B810,55 Cancri e,39.0,True,482.0,482.0,482.0,482.0,482.0,Guest 12,0
13_01,Europa,True,F253,55 Cancri e,42.0,True,186.7,186.7,186.7,186.7,186.7,Guest 13,0
14_01,Earth,False,A92,TRAPPIST-1e,32.0,False,1729.8,1729.8,1729.8,1729.8,1729.8,Guest 14,0
15_01,Mars,True,C209,PSO J318.5-22,23.0,False,155.3,155.3,155.3,155.3,155.3,Guest 15,0
16_01,Europa,False,C720,TRAPPIST-1e,11.0,True,563.1,563.1,563.1,563.1,563.1,Guest 16,0
17_01,Earth,False,B100,55 Cancri e,26.0,True,18.8,18.8,18.8,18.8,18.8,Guest 17,0
18_01,Europa,True,A591,55 Cancri e,20.0,False,451.4,451.4,451.4,451.4,451.4,Guest 18,0
19_01,Earth,True,A971,TRAPPIST-1e,8.0,True,278.0,278.0,278.0,278.0,278.0,Guest 19,0
20_01,Mars,True,E890,PSO J318.5-22,50.0,True,1596.4,1596.4,1596.4,1596.4,1596.4,Guest 20,0
21_01,Europa,False,E261,PSO J318.5-22,7.0,True,557.0,557.0,557.0,557.0,557.0,Guest 21,0
22_01,Earth,True,D12,55 Cancri e,34.0,True,613.8,613.8,613.8,613.8,613.8,Guest 22,1
23_01,Mars,True,A29,55 Cancri e,36.0,False,291.3,291.3,291.3,291.3,291.3,Guest 23,0
24_01,Earth,False,D791,TRAPPIST-1e,27.0,False,150.4,150.4,150.4,150.4,150.4,Guest 24,0
25_01,Europa,True,D809,TRAPPIST-1e,61.0,True,1140.6,1140.6,1140.6,1140.6,1140.6,Guest 25,0
26_01,Earth,False,G124,TRAPPIST-1e,30.0,False,425.4,425.4,425.4,425.4,425.4,Guest 26,0
27_01,Europa,True,D641,55 Cancri e,20.0,True,233.6,233.6,233.6,233.6,233.6,Guest 27,0
28_01,Mars,False,D202,55 Cancri e,51.0,True,1499.1,1499.1,1499.1,1499.1,1499.1,Guest 28,0
29_01,Mars,False,E318,PSO J318.5-22,20.0,True,19.9,19.9,19.9,19.9,19.9,Guest 29,0
30_01,Mars,True,C545,PSO J318.5-22,12.0,False,2118.4,2118.4,2118.4,2118.4,2118.4,Guest 30,0
31_01,Mars,True,D962,PSO J318.5-22,18.0,True,284.6,284.6,284.6,284.6,284.6,Guest 31,0
32_01,Mars,False,C56,55 Cancri e,22.0,False,779.8,779.8,779.8,779.8,779.8,Guest 32,0
33_01,Mars,True,C715,TRAPPIST-1e,30.0,True,2733.3,2733.3,2733.3,2733.3,2733.3,Guest 33,0
34_01,Europa,True,A881,TRAPPIST-1e,34.0,False,567.7,567.7,567.7,567.7,567.7,Guest 34,0
35_01,Europa,True,A464,PSO J318.5-22,11.0,False,695.8,695.8,695.8,695.8,695.8,Guest 35,0
36_01,Europa,False,D911,TRAPPIST-1e,34.0,False,838.6,838.6,838.6,838.6,838.6,Guest 36,0
37_01,Europa,True,A382,55 Cancri e,57.0,False,623.3,623.3,623.3,623.3,623.3,Guest 37,0
38_01,Mars,False,C33,55 Cancri e,21.0,True,1180.1,1180.1,1180.1,1180.1,1180.1,Guest 38,0
39_01,Mars,True,F416,55 Cancri e,28.0,True,166.2,166.2,166.2,166.2,166.2,Guest 39,0
40_01,Europa,False,G491,PSO J318.5-22,38.0,False,348.8,348.8,348.8,348.8,348.8,Guest 40,0
41_01,Mars,True,G605,TRAPPIST-1e,44.0,True,1375.1,1375.1,1375.1,1375.1,1375.1,Guest 41,0
42_01,Earth,False,A53,TRAPPIST-1e,22.0,True,585.8,585.8,585.8,585.8,585.8,Guest 42,0
43_01,Europa,True,E44,PSO J318.5-22,18.0,False,606.4,606.4,606.4,606.4,606.4,Guest 43,0
44_01,Earth,False,D129,TRAPPIST-1e,17.0,True,187.8,187.8,187.8,187.8,187.8,Guest 44,0
45_01,Europa,True,D144,55 Cancri e,43.0,True,681.0,681.0,681.0,681.0,681.0,Guest 45,0
46_01,Mars,False,A211,55 Cancri e,41.0,True,2323.8,2323.8,2323.8,2323.8,2323.8,Guest 46,0
47_01,Earth,True,G628,TRAPPIST-1e,3.0,True,402.0,402.0,402.0,402.0,402.0,Guest 47,0
48_01,Earth,True,C356,TRAPPIST-1e,4.0,True,921.0,921.0,921.0,921.0,921.0,Guest 48,1
49_01,Mars,False,F870,55 Cancri e,15.0,False,126.7,126.7,126.7,126.7,126.7,Guest 49,0
50_01,Earth,False,D875,PSO J318.5-22,11.0,True,959.5,959.5,959.5,959.5,959.5,Guest 50,0
51_01,Earth,False,C892,TRAPPIST-1e,35.0,True,1732.5,1732.5,1732.5,1732.5,1732.5,Guest 51,0
52_01,Mars,True,C850,55 Cancri e,32.0,False,2615.2,2615.2,2615.2,2615.2,2615.2,Guest 52,0
53_01,Europa,False,D997,55 Cancri e,54.0,False,563.3,563.3,563.3,563.3,563.3,Guest 53,0
